title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,https://www.dubizzle.com.om/en/ad/1-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130386132.html,400.0,1.0,2.0,89.0,"Qurum, Muscat",13 hours ago,
54 SQM Office for Rent in Muscat Hills,https://www.dubizzle.com.om/en/ad/54-sqm-office-for-rent-in-muscat-hills-ID130473965.html,297.0,,,54.0,"Muscat Hills, Muscat",13 hours ago,
31.87 S QM Shop in Azaiba – Commercial Use – Excellent Location,https://www.dubizzle.com.om/en/ad/3187-s-qm-shop-in-azaiba-commercial-use-excellent-location-ID130475655.html,480.0,,,31.87,"Azaiba, Muscat",13 hours ago,
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,https://www.dubizzle.com.om/en/ad/bosher-brand-new-31-br-townhouses-ID130013877.html,850.0,3.0,4.0,300.0,"Bosher, Muscat",13 hours ago,
QURUM | SPACIOUS 6 BR COMPOUND VILLA,https://www.dubizzle.com.om/en/ad/qurum-spacious-6-br-compound-villa-ID129865691.html,1000.0,6.0,5.0,300.0,"Qurum, Muscat",13 hours ago,
QURUM | 6 BR COMPOUND VILLA,https://www.dubizzle.com.om/en/ad/qurum-6-br-compound-villa-ID129807257.html,650.0,6.0,6.0,300.0,"Qurum, Muscat",13 hours ago,
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-%D9%82%D8%B1%D9%8A%D8%A8-%D9%85%D9%86-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%85%D9%85%D9%8A%D8%B2-ID130464514.html,160.0,,,16.0,"Al Khoud, Muscat",23 hours ago,
فيلا جديده راقيه للبيع في المعبيلة الثالثة,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,120000.0,6.0,6.0,408.0,"Al Maabilah, Muscat",1 day ago,
فيلا راقية جديدة للايجار في المعبيلة villa for rent,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-villa-for-rent-ID127911504.html,500.0,6.0,7.0,408.0,"Al Maabilah, Muscat",1 day ago,
shop for rent in seeb souq,https://www.dubizzle.com.om/en/ad/shop-for-rent-in-seeb-souq-ID130133842.html,100.0,,,25.0,"Al Seeb, Muscat",1 day ago,
2bhk in darsait free wifi (B1577),https://www.dubizzle.com.om/en/ad/2bhk-in-darsait-free-wifi-b1577-ID130360086.html,160.0,2.0,2.0,95.0,"Darsait, Muscat",1 day ago,
2bhk flat in almumtaz free wifi (B3434),https://www.dubizzle.com.om/en/ad/2bhk-flat-in-almumtaz-free-wifi-b3434-ID130486159.html,220.0,2.0,2.0,100.0,"Ruwi, Muscat",1 day ago,
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,https://www.dubizzle.com.om/en/ad/sr-hk-595-fully-furnished-townhouse-for-rent-in-almouj-ID130484916.html,800.0,2.0,3.0,200.0,"The Wave (Almouj), Muscat",1 day ago,
