title,url,price_omr,bedrooms,bathrooms,size_sqm,locality,listing_date,agency
Courtyard Villa for Sale - فيلا للبيع,https://www.dubizzle.com.om/en/ad/courtyard-villa-for-sale-%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID130322775.html,238000.0,3.0,5.0,252.0,"Yiti, Muscat",1 day ago,امتلك فيلا في المدينة المستدامة - يتي استثمر في مستقبل أخضر مع تملك حر وخطط دفع مرنة خطة الدفع: 50% قبل التسليم – 50% بعد التسليم على 3 أو 5 سنوات • بدون رسوم خدمات | دفعة أولى 5% فقط • وفر حتى 100% من فاتورة الكهرب
Apartment for sale with 3 bedrooms- شقة للبيع بثلاث غرف,https://www.dubizzle.com.om/en/ad/apartment-for-sale-with-3-bedrooms-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%AB%D9%84%D8%A7%D8%AB-%D8%BA%D8%B1%D9%81-ID130385929.html,220000.0,3.0,4.0,164.0,"Yiti, Muscat",1 day ago,شقق ذكية ومستدامة للبيع في المدينة المستدامة-يتي امتلك شقتك في أول مدينة صفرية الانبعاثات في عُمان، واستمتع بأسلوب حياة عصري، موفّر وصديق للبيئة، ضمن مجتمع متكامل قريب من البحر والطبيعة. المميزات الرئيسية: • دفعة أو
3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,150000.0,3.0,4.0,768.0,"Al Khoud, Muscat",5 hours ago,
4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,https://www.dubizzle.com.om/en/ad/4-br-maids-room-spacious-well-designed-villa-in-azaiba-ID130440803.html,750.0,4.0,5.0,439.0,"Azaiba, Muscat",5 hours ago,
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,https://www.dubizzle.com.om/en/ad/2-br-beautiful-apartment-with-panoramic-views-muscat-hills-ID130487287.html,430.0,2.0,2.0,119.0,"Muscat Hills, Muscat",6 hours ago,
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities",https://www.dubizzle.com.om/en/ad/2-br-fully-furnished-apartment-in-juman-two-al-mouj-with-amenities-ID130273117.html,1250.0,2.0,3.0,109.0,"The Wave (Almouj), Muscat",6 hours ago,
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,https://www.dubizzle.com.om/en/ad/2-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130487280.html,525.0,2.0,3.0,119.0,"Qurum, Muscat",6 hours ago,
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,https://www.dubizzle.com.om/en/ad/1-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130386132.html,400.0,1.0,2.0,89.0,"Qurum, Muscat",6 hours ago,
ADV407**5BHK brand new villa in a complex in al hail south,https://www.dubizzle.com.om/en/ad/adv4075bhk-brand-new-villa-in-a-complex-in-al-hail-south-ID129958085.html,550.0,5.0,6.0,325.0,"Al Hail, Muscat",1 day ago,
ADC701***Shop for Rent in New Commercial Building – 150 SQM,https://www.dubizzle.com.om/en/ad/adc701shop-for-rent-in-new-commercial-building-150-sqm-ID130482895.html,1250.0,,,150.0,"Bosher, Muscat",1 day ago,
