Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
3 Bedrooms Apartment For Rent Ruwi Muscat,OMR380,3,3,253 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-129693225.html,3
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat",OMR700,2,3,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment,https://www.bayut.om/en/property/details-129274051.html,3
"2 Bedrooms Apartment For Rent in Muscat Hills, Muscat",OMR550,2,3,115 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130247868.html,3
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",OMR200,1,1,90 Sq. M.,"Al Khuwair, Muscat",Apartment,https://www.bayut.om/en/property/details-122073832.html,3
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat",OMR180,2,2,100 Sq. M.,"Al Mawaleh, Muscat",Apartment,https://www.bayut.om/en/property/details-130012045.html,3
2 Bedrooms Apartment For Rent Al Seeb - Muscat,OMR190,2,3,78 Sq. M.,"Al Seeb, Muscat",Apartment,https://www.bayut.om/en/property/details-129204821.html,3
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,OMR599,5,5,300 Sq. M.,N/A,Villa,https://www.bayut.om/en/property/details-130243700.html,3
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",OMR950,2,2,10 Sq. M.,N/A,Apartment,https://www.bayut.om/en/property/details-127751341.html,3
"5 Bedroom Villa For Rent in Al Hail, Muscat",OMR600,5,6,300 Sq. M.,"Al Hail, Muscat",Villa,https://www.bayut.om/en/property/details-130257497.html,3
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat",OMR400,2,2,105 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-130252987.html,3
"3 Bedroom Villa For Rent in Bosher, Muscat",OMR850,3,4,297 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-129757608.html,3
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",OMR625,2,3,112 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-130077526.html,3
"2 Bedroom Apartment For Rent Ruwi, Muscat",OMR200,2,2,107 Sq. M.,"Ruwi, Muscat",Apartment,https://www.bayut.om/en/property/details-104717773.html,3
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",OMR180,1,1,85 Sq. M.,"Al Ghubrah, Muscat",Apartment,https://www.bayut.om/en/property/details-125077619.html,3
