title,Price,bedrooms,bathrooms,Size,Location,Property_type
فيلا للبيع في الوادي الكبير مع الأثاث,165000.0,9,6,601.0,"Al Wadi Al Kabir, Muscat",Other
محلات للبيع في الخوض مكان جميل جدا و ممتاز,40000.0,2,3,26.0,"Al Khoud, Muscat",Other
فيلا للبيع في موقع مميز في المعبيله,79000.0,3,5,600.0,"Al Maabilah, Muscat",Other
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,168000.0,7,6,700.0,"Azaiba, Muscat",Villa
Villa for Sale (Garden) - Sea View,517000.0,4,6,506.0,"Yiti, Muscat",Villa
Apartment for sale in Muscat- شقة للبيع في مسقط,87000.0,1,2,79.0,"Yiti, Muscat",Apartment
Courtyard Villa for Sale - فيلا للبيع,238000.0,3,5,252.0,"Yiti, Muscat",Villa
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,110000.0,6,4,623.0,"Al Hail, Muscat",Villa
توين فيلا جميلة للبيع في المسفاة,90000.0,5,7,312.0,"Misfah, Muscat",Other
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,200.0,2,3,29.0,"Al Mawaleh, Muscat",Commercial
beautiful And spacious villa in Mabelah for rent,800.0,9,12,400.0,"Al Maabilah, Muscat",Villa
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,250.0,2,3,15.0,"Al Khuwair, Muscat",Commercial
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,55000.0,2,3,103.0,"Ghala, Muscat",Villa
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,150.0,2,3,10.0,"Al Khuwair, Muscat",Commercial
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,250.0,2,3,60.0,"Al Khuwair, Muscat",Commercial
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,100.0,2,3,10.0,"Al Khuwair, Muscat",Commercial
(freehold) 1bhk for sale in muscat hails,66000.0,1,2,74.0,"Muscat Hills, Muscat",Other
one room in souq alseeb,100.0,1,1,65.0,"Al Seeb, Muscat",Other
Shop for rent in seeb sooq (B291),100.0,2,3,25.0,"Al Seeb, Muscat",Commercial
shop in Al hail south محل الحيل الجنوبية,180.0,2,3,28.0,"Al Hail, Muscat",Commercial
3bhk Luxury in wadi kabir free WiFi,250.0,2,2,95.0,"Al Wadi Al Kabir, Muscat",Other
